,Name,County,Metro,mean_price_1Bedroom,min_t_1Bedroom,t_range_1Bedroom,intercept_1Bedroom,price_trend_1Bedroom,intercept_err_1Bedroom,price_trend_err_1Bedroom,rsquared_1Bedroom,std_err_1Bedroom,nobs_1Bedroom
0,Northeast Dallas,Dallas,Dallas-Fort Worth,812.053,2430.663,547.499,1121.296,-0.114,184.111,0.068,0.143,46.675,19.000
1,Paradise,Clark,Las Vegas,665.417,1001.083,1977.079,454.151,0.106,22.271,0.011,0.604,49.820,66.000
2,Upper West Side,New York,New York,3024.981,666.500,2311.662,2564.656,0.253,24.536,0.013,0.842,73.906,77.000
3,Sherman Oaks,Los Angeles,Los Angeles-Long Beach-Anaheim,1421.233,1244.415,1733.746,896.530,0.249,31.553,0.015,0.839,55.359,58.000
4,Upper East Side,New York,New York,2593.069,1031.499,1946.662,2115.328,0.238,30.089,0.014,0.812,65.383,65.000
5,East New York,Kings,New York,1256.123,1396.498,1581.663,747.135,0.233,40.761,0.018,0.762,60.565,53.000
6,Paradise Valley,Maricopa,Phoenix,852.000,2126.497,851.665,617.583,0.092,95.494,0.037,0.184,49.230,29.000
7,Deer Valley,Maricopa,Phoenix,775.881,2369.830,608.332,-15.787,0.296,106.623,0.040,0.745,31.936,21.000
8,Washington Heights,New York,New York,1462.537,970.666,2007.496,1082.785,0.192,9.743,0.005,0.962,22.429,67.000
9,Van Nuys,Los Angeles,Los Angeles-Long Beach-Anaheim,1079.246,1274.832,1703.330,525.153,0.261,28.345,0.013,0.880,48.152,57.000
10,Astoria,Queens,New York,1848.554,1031.499,1946.662,1337.955,0.255,43.303,0.021,0.705,94.096,65.000
11,North Mountain,Maricopa,Phoenix,606.280,2248.163,729.998,316.755,0.111,57.049,0.022,0.530,22.884,25.000
12,Far North,Dallas,Dallas-Fort Worth,781.885,1031.499,1946.662,514.342,0.133,15.063,0.007,0.844,32.733,65.000
13,Hollywood,Los Angeles,Los Angeles-Long Beach-Anaheim,1568.114,1001.083,1977.079,1193.046,0.189,50.106,0.024,0.487,112.084,66.000
14,Williamsburg,Kings,New York,2797.648,1366.082,1612.080,2414.588,0.176,92.236,0.041,0.258,141.825,54.000
15,Bedford Stuyvesant,Kings,New York,1664.856,1001.083,1977.079,939.243,0.365,18.211,0.009,0.964,40.737,66.000
16,Flatbush,Kings,New York,1427.926,1153.166,1824.996,925.305,0.243,14.737,0.007,0.955,28.408,61.000
17,Crown Heights,Kings,New York,1655.992,1061.916,1916.246,1033.664,0.308,33.532,0.016,0.857,70.755,64.000
18,Jamaica,Queens,New York,1418.565,1366.082,1612.080,925.408,0.227,29.373,0.013,0.850,45.164,54.000
19,Harlem,New York,New York,1684.864,1001.083,1977.079,1202.903,0.242,22.092,0.011,0.890,49.418,66.000
20,Williamsbridge,Bronx,New York,1150.017,1183.582,1794.579,764.533,0.185,18.694,0.009,0.886,34.938,60.000
21,East Harlem,New York,New York,2066.333,1001.083,1977.079,1386.013,0.342,44.256,0.021,0.800,98.999,66.000
22,Bushwick,Kings,New York,1740.264,1335.665,1642.496,901.914,0.389,43.388,0.020,0.881,69.003,55.000
23,East Flatbush,Kings,New York,1299.733,1183.582,1794.579,1014.952,0.137,17.992,0.008,0.821,33.626,60.000
24,Enterprise,Clark,Las Vegas,948.861,2461.079,517.082,773.773,0.064,54.177,0.020,0.396,12.553,18.000
25,Corona,Queens,New York,1455.600,1183.582,1794.579,926.755,0.254,19.625,0.009,0.930,36.677,60.000
26,Sunset Park,Kings,New York,1448.051,1213.999,1764.163,992.116,0.218,19.952,0.009,0.907,36.137,59.000
27,Concourse,Bronx,New York,1203.147,1457.332,1520.830,752.469,0.203,18.587,0.008,0.926,25.747,51.000
28,North Hollywood,Los Angeles,Los Angeles-Long Beach-Anaheim,1763.800,2552.329,425.832,866.852,0.324,348.132,0.126,0.339,59.585,15.000
29,Alief,Harris,Houston,591.608,1883.164,1094.998,582.988,0.004,30.788,0.013,0.002,24.122,37.000
30,Elmhurst,Queens,New York,1588.633,1061.916,1916.246,1111.982,0.236,15.612,0.007,0.942,32.943,64.000
31,Bensonhurst,Kings,New York,1323.648,1153.166,1824.996,964.782,0.174,13.659,0.006,0.926,26.331,61.000
32,Koreatown,Los Angeles,Los Angeles-Long Beach-Anaheim,1301.520,1457.332,1520.830,664.589,0.287,42.360,0.019,0.828,58.677,51.000
33,West San Jose,Santa Clara,San Jose,2039.217,2308.996,669.165,779.804,0.476,178.081,0.067,0.705,62.103,23.000
34,Soundview,Bronx,New York,1265.468,1578.998,1399.164,1048.653,0.095,41.618,0.018,0.384,49.743,47.000
35,Lower East Side,New York,New York,2504.821,1305.249,1672.913,2026.614,0.223,23.463,0.011,0.890,38.575,56.000
