idx,Name,mean_price_2Bedroom,min_t_2Bedroom,t_range_2Bedroom,intercept_2Bedroom,price_trend_2Bedroom,intercept_err_2Bedroom,price_trend_err_2Bedroom,rsquared_2Bedroom,std_err_2Bedroom,nobs_2Bedroom
0,Northeast Dallas,1043.871,1611.247,912.498,765.430,0.135,71.899,0.034,0.345,50.513,31.000
1,Paradise,835.145,455.416,2068.329,685.752,0.100,15.277,0.010,0.625,47.107,69.000
2,Maryvale,721.618,1002.915,1520.830,543.891,0.101,16.955,0.009,0.705,29.208,51.000
3,Upper West Side,4491.435,1854.580,669.165,4384.614,0.049,154.947,0.070,0.022,65.165,23.000
4,Sherman Oaks,2023.583,546.666,1977.079,1706.027,0.207,43.159,0.026,0.491,121.925,66.000
5,Upper East Side,3353.664,607.499,1916.246,2793.536,0.358,58.239,0.035,0.627,154.903,64.000
6,Sunrise Manor,657.172,698.749,1824.996,617.359,0.025,8.774,0.005,0.279,21.256,61.000
7,East New York,1502.983,729.166,1794.579,1239.706,0.162,15.330,0.009,0.849,35.972,60.000
8,Paradise Valley,982.383,1641.664,882.081,771.611,0.101,60.036,0.029,0.309,39.840,30.000
9,Deer Valley,825.895,668.332,1855.413,666.401,0.100,16.917,0.010,0.623,42.299,62.000
10,Washington Heights,1849.992,546.666,1977.079,1501.932,0.227,13.825,0.008,0.919,39.055,66.000
11,Van Nuys,1576.625,1459.164,1064.581,731.914,0.424,70.437,0.035,0.813,64.362,36.000
12,Astoria,2295.417,546.666,1977.079,1819.588,0.310,53.641,0.033,0.584,151.535,66.000
13,North Mountain,713.614,425.000,2098.745,670.473,0.029,15.042,0.009,0.124,47.725,70.000
14,Far North,1088.931,789.999,1733.746,718.139,0.224,14.544,0.008,0.927,31.972,58.000
15,Hollywood,2499.754,759.582,1764.163,1923.817,0.351,70.103,0.041,0.566,159.254,59.000
16,Williamsburg,3103.582,881.249,1642.496,2616.729,0.286,60.369,0.034,0.570,119.916,55.000
17,Bedford Stuyvesant,1955.197,546.666,1977.079,1214.679,0.482,23.880,0.015,0.945,67.461,66.000
18,Alhambra,664.394,546.666,1977.079,539.398,0.081,7.263,0.004,0.841,20.519,66.000
19,Flatbush,1785.270,698.749,1824.996,1302.804,0.299,22.197,0.013,0.899,53.776,61.000
20,Crown Heights,2053.069,577.083,1946.662,1383.258,0.432,31.890,0.019,0.888,87.431,65.000
21,Harlem,2130.379,546.666,1977.079,1551.766,0.377,28.348,0.017,0.881,80.084,66.000
22,Roosevelt,659.370,911.665,1612.080,666.439,-0.004,8.358,0.005,0.015,16.035,54.000
23,Williamsbridge,1461.019,911.665,1612.080,1209.642,0.146,23.158,0.013,0.709,44.427,54.000
