chain star zhvi_p cst_p zhvi_c cst_c w_avg n_rev n_rev_star 
08 0.17433853686 0.148086522463 3796 535 
Starbucks 2 0.985051132952 1.69892315744e-09 -1.08092884224e-09 0.116426075681 0.116139767055 3796 453 
Starbucks 3 0.278444950506 2.31064260783e-09 8.57773115634e-08 0.157313203007 0.18003327787 3796 680 
Starbucks 4 0.397705863411 5.76199282899e-18 -7.88288312391e-08 0.316719877795 0.295840266223 3796 1133 
Starbucks 5 0.325169965939 1.95470630781e-12 9.3244235414e-08 0.235202306657 0.259900166389 3796 995 
Starbucks 1 0.266790436352 3.74693376449e-09 -9.91117868961e-08 0.17433853686 0.148086522463 3796 535 
Starbucks 2 0.985051132952 1.69892315744e-09 -1.08092884224e-09 0.116426075681 0.116139767055 3796 453 
Starbucks 3 0.278444950506 2.31064260783e-09 8.57773115634e-08 0.157313203007 0.18003327787 3796 680 
Starbucks 4 0.397705863411 5.76199282899e-18 -7.88288312391e-08 0.316719877795 0.295840266223 3796 1133 
Starbucks 5 0.325169965939 1.95470630781e-12 9.3244235414e-08 0.235202306657 0.259900166389 3796 995 
Subway 1 0.194553476418 0.0102749268898 2.03416655917e-07 0.116857557301 0.170266836086 940 184 
Subway 2 0.331306892556 6.85292689704e-05 -1.33676064613e-07 0.165974867153 0.130876747141 940 132 
Subway 3 0.267504869753 2.8026378604e-07 -1.57105517605e-07 0.230576336954 0.189326556544 940 169 
Subway 4 0.937966766571 3.06501677954e-07 1.33095391314e-08 0.278589296985 0.28208386277 940 256 
Subway 5 0.663989199899 6.05341063819e-05 7.40553871703e-08 0.208001941607 0.227445997459 940 199 
McDonald's 1 0.359932065307 2.44790171879e-11 -1.97580197351e-07 0.442802185437 0.396363636364 1377 560 
McDonald's 2 0.244468681726 3.48479910046e-08 -1.56654402716e-07 0.213183131767 0.176363636364 1377 235 
McDonald's 3 0.84253500681 3.84743478311e-07 -2.50973447567e-08 0.181353336385 0.175454545455 1377 234 
McDonald's 4 0.431640669981 0.000700427574106 1.05661584347e-07 0.120620221288 0.145454545455 1377 201 
McDonald's 5 0.0316840093117 0.186446577472 2.73670360477e-07 0.0420411251229 0.106363636364 1377 147 
Walgreens 1 0.555015883114 0.000337223997196 1.33530889218e-07 0.248418473618 0.283806343907 710 203 
Walgreens 2 0.82473697992 0.00842980817261 -2.93110886913e-08 0.102926515713 0.0951585976628 710 70 
Walgreens 3 0.0509615352501 1.66884611341e-06 -3.09970049608e-07 0.244083695377 0.161936560935 710 117 
Walgreens 4 0.0310851954035 0.0138079864775 4.09912940761e-07 0.133436481138 0.242070116861 710 167 
Walgreens 5 0.24927532098 2.40287458167e-06 -2.0416269168e-07 0.271134834154 0.217028380634 710 153 
TacoBell 1 0.447167341724 5.99793595397e-05 -1.92310009132e-07 0.284781305837 0.238289205703 651 152 
TacoBell 2 0.626260930868 0.0052762699615 -1.02630668353e-07 0.157194472751 0.132382892057 651 88 
TacoBell 3 0.035223785092 0.0719882674233 4.79347142134e-07 0.104074215204 0.219959266802 651 133 
TacoBell 4 0.361066996911 4.30521802405e-05 -2.08169583953e-07 0.262138874925 0.211812627291 651 138 
TacoBell 5 0.942936697058 0.0281047731816 2.37631193032e-08 0.191811131283 0.197556008147 651 140 
PizzaHut 1 0.118801383521 5.58242066431e-09 -5.56295373055e-07 0.606464850649 0.481042654028 496 234 
PizzaHut 2 0.977662489252 0.00914764085045 5.14040551663e-09 0.119694126203 0.120853080569 496 61 
PizzaHut 3 0.874332438848 0.0109021141824 2.84773578571e-08 0.114432583564 0.120853080569 496 55 
PizzaHut 4 0.371496398121 0.193761899186 2.25912430876e-07 0.0793976011298 0.130331753555 496 69 
PizzaHut 5 0.209757767672 0.160586102016 2.96765178805e-07 0.0800108384544 0.14691943128 496 77 
TheUPSStore 1 0.645508649441 0.00155819610701 -1.60317891618e-07 0.33384260719 0.291066282421 403 125 
TheUPSStore 2 0.245436129466 0.51832242438 1.76976046489e-07 0.0277068685549 0.0749279538905 403 28 
TheUPSStore 3 0.667946330277 0.0389622831882 -7.62111158814e-08 0.106790126306 0.0864553314121 403 31 
TheUPSStore 4 0.531977523204 0.0185617531139 -1.37572713267e-07 0.151981188236 0.115273775216 403 44 
TheUPSStore 5 0.579043887112 0.000501598164111 1.97125674278e-07 0.379679209713 0.432276657061 403 175 
Wendy's 1 0.384635808164 8.61504559761e-06 -2.60495705566e-07 0.397412644788 0.334051724138 603 217 
Wendy's 2 0.334222167832 0.0500226371835 2.16360468806e-07 0.117632806894 0.17025862069 603 102 
Wendy's 3 0.329867786708 0.00613228767585 1.97519188716e-07 0.152388025037 0.200431034483 603 121 
Wendy's 4 0.928137463497 0.00171575713899 -1.81552247242e-08 0.176829726758 0.172413793103 603 94 
