,loop_i,ID,state,county,city,neighborhood,lon,lat,lon_width,lat_width
0,0.0,267847.0,AK,Anchorage,Anchorage,Northeast,-149.7411573,61.2151303,0.0745318,0.0397576
1,1.0,274891.0,AK,Anchorage,Anchorage,Old Seward-Oceanview,-149.8431373,61.0782217,0.1126591,0.0764155
2,2.0,275077.0,AK,Anchorage,Anchorage,Portage Valley,-148.8962004,60.8196838,0.3109906,0.1733018
3,3.0,267840.0,AK,Anchorage,Anchorage,Glen Alps,-149.7004508,61.096125,0.0284553,0.0249958
4,4.0,267835.0,AK,Anchorage,Anchorage,Campbell Park,-149.8115177,61.173622,0.0979721,0.0144595
5,5.0,267837.0,AK,Anchorage,Anchorage,Eagle River Valley,-149.4025416,61.2998295,0.2955477,0.1083092
6,6.0,102588.0,AK,Anchorage,Anchorage,Spenard,-149.9487607,61.185636,0.1016329,0.0265437
7,7.0,267834.0,AK,Anchorage,Anchorage,Bear Valley,-149.7199958,61.0712024,0.0674089,0.051392
8,8.0,102224.0,AK,Anchorage,Anchorage,Girdwood,-149.0602683,60.9734058,0.2433496,0.1257954
9,9.0,275659.0,AK,Anchorage,Anchorage,Taku-Campbell,-149.8861224,61.1556393,0.061491,0.0363075
10,10.0,267842.0,AK,Anchorage,Anchorage,Hillside East,-149.7311313,61.1248993,0.0330589,0.0609708
11,11.0,267856.0,AK,Anchorage,Anchorage,Tudor Area,-149.8517305,61.1844494,0.0270889,0.0072206
12,12.0,267846.0,AK,Anchorage,Anchorage,North Star,-149.8905164,61.2013114,0.0451399,0.006928
13,13.0,267849.0,AK,Anchorage,Anchorage,Rabbit Creek,-149.7685834,61.0652638,0.1349264,0.0722693
14,14.0,272880.0,AK,Anchorage,Anchorage,Bayshore-Klatt,-149.9206131,61.1143963,0.129418,0.0515997
15,15.0,267850.0,AK,Anchorage,Anchorage,Russian Jack Park,-149.7934277,61.2100008,0.0301089,0.0295278
16,16.0,102116.0,AK,Anchorage,Anchorage,Chugiak,-149.3973806,61.409932,0.3131136,0.1407837
17,17.0,102172.0,AK,Anchorage,Anchorage,Eagle River,-149.5765027,61.3353794,0.0752477,0.066209
18,18.0,267831.0,AK,Anchorage,Anchorage,Airport Heights,-149.8315946,61.2082163,0.0465134,0.0257915
19,19.0,102065.0,AK,Anchorage,Anchorage,Birchwood,-149.5173258,61.3891252,0.1161399,0.0898084
20,20.0,267854.0,AK,Anchorage,Anchorage,South Fork,-149.4642945,61.2641931,0.2501686,0.1020677
21,21.0,267857.0,AK,Anchorage,Anchorage,Turnagain,-149.9884925,61.1921811,0.1537831,0.035992
22,22.0,267830.0,AK,Anchorage,Anchorage,Abbott Loop,-149.8154253,61.1447511,0.0820961,0.0433701
23,23.0,267838.0,AK,Anchorage,Anchorage,Eklutna Valley,-149.2899454,61.4423186,0.1587211,0.0322945
24,24.0,275810.0,AK,Anchorage,Anchorage,University Area,-149.8008237,61.1898164,0.0748698,0.0181219
25,25.0,267839.0,AK,Anchorage,Anchorage,Fairview,-149.8665236,61.2120756,0.0416854,0.022502
26,26.0,267845.0,AK,Anchorage,Anchorage,Midtown,-149.8780362,61.1861514,0.0398459,0.0250692
27,27.0,267853.0,AK,Anchorage,Anchorage,South Addition,-149.9047849,61.2141817,0.0511971,0.0215114
