,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
0,155.0,370500.0,,,4.125,0.369754986444,4,111394,360.0,AZ,Maricopa,Tempe,Alta Mira,-111.9068637,33.329349,0.0087405,0.010726,0.668305326759
1,133.0,212300.0,1.57872928177,0.0228845534111,3.67443729904,0.0283198695904,1244,111818,434.0,AZ,Maricopa,Phoenix,Deer Valley,-112.1238837,33.6884516,0.1588872,0.1266167,144.760082264
2,95.0,185400.0,1.49425287356,0.0560126705991,3.23255813953,0.0890708319992,129,112261,290.0,AZ,Maricopa,Phoenix,Laveen,-112.1688482,33.3633143,0.1053764,0.1100467,83.6039469965
3,96.0,134900.0,1.47202797203,0.0372137425037,3.34180138568,0.0504085361102,433,112345,340.0,AZ,Maricopa,Phoenix,Maryvale,-112.2163591,33.4921225,0.2159182,0.0606459,94.5975840039
4,165.0,286500.0,1.73481781377,0.0210983782402,3.80717488789,0.0223455000456,1784,112547,420.0,AZ,Maricopa,Phoenix,Paradise Valley,-111.9872308,33.6261558,0.1221863,0.1441661,126.007937084
5,222.0,425800.0,2.30303030303,0.0726162298895,3.65432098765,0.0561158221374,162,180250,3898.0,NC,Mecklenburg,Charlotte,Barclay Downs,-80.8366629,35.1628431,0.024218,0.0289022,2.12972771904
6,100.0,113300.0,1.88888888889,0.104756560176,4.15625,0.157611257827,16,180349,3900.0,NC,Mecklenburg,Charlotte,Belmont,-80.8204031,35.228117,0.0186724,0.013602,0.774143003077
7,79.0,137800.0,1.0,0.0,2.5,0.623609564462,3,182048,3899.0,NC,Mecklenburg,Charlotte,Hickory Grove,-80.7270789,35.2430705,0.021746,0.031075,2.08048075459
8,75.0,90100.0,1.72972972973,0.0985552956933,3.4552238806,0.11548195486,67,184371,3989.0,NC,Mecklenburg,Charlotte,Sterling,-80.882408,35.1023195,0.0285482,0.034751,3.00362628523
9,108.0,135400.0,1.7619047619,0.0929428640903,3.21666666667,0.146597205774,30,208110,5146.0,PA,Allegheny,Pittsburgh,Banksville,-80.0403643,40.4119338,0.0213757,0.0259435,1.83255590611
10,63.0,83900.0,1.45,0.131814263265,3.73214285714,0.182950141769,28,208228,5107.0,PA,Allegheny,Pittsburgh,Beechview,-80.0235205,40.4136118,0.0269794,0.0329465,2.94222801739
11,96.0,150500.0,1.46017699115,0.0501160033133,3.78231292517,0.0621747917921,147,208472,5102.0,PA,Allegheny,Pittsburgh,Bloomfield,-79.9465342,40.4593887,0.0228596,0.0135841,1.03571124475
12,80.0,105700.0,1.54838709677,0.0893811499334,3.85,0.113468057179,40,208709,5169.0,PA,Allegheny,Pittsburgh,Brookline,-80.0141702,40.3969137,0.0337763,0.0322497,3.60890316569
13,50.0,70400.0,1.66666666667,0.12171612389,3.47222222222,0.267799164148,18,208967,5124.0,PA,Allegheny,Pittsburgh,Carrick,-79.9868068,40.3939167,0.0278586,0.0288193,2.66720589533
